[2026-05-19 22:17:46] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:17:51] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:17:57] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:02] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:07] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:12] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:17] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:23] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:28] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:33] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:38] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:43] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:48] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:53] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:18:59] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:04] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:09] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:14] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:19] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:24] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:29] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:35] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:40] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:45] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:50] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:19:55] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:00] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:06] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:11] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:16] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:21] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:26] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:32] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:37] PRICE=0.00233400 | MC=2334449 | LIQ=110527 | B1h=12 S1h=2 | B6h=13 S6h=2
[2026-05-19 22:20:42] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:20:47] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:20:52] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:20:57] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:03] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:08] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:13] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:18] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:23] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:28] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:34] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:39] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:44] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:49] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:54] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:21:59] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:04] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:10] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:15] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:20] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:25] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:30] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:35] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:41] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:46] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:51] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:22:56] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:01] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:06] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:11] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:16] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:22] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:27] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:32] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
