[2026-05-17 14:28:37] PRICE=0.00033720 | MC=337223 | LIQ=0 | B1h=10040 S1h=8196 | B6h=20885 S6h=18389
[2026-05-17 14:28:42] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:28:42] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:28:48] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:28:53] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:28:58] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:29:03] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:29:08] PRICE=0.00037390 | MC=373928 | LIQ=0 | B1h=10084 S1h=8251 | B6h=20929 S6h=18444
[2026-05-17 14:29:13] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:18] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:24] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:29] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:34] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:39] PRICE=0.00036300 | MC=363080 | LIQ=0 | B1h=10127 S1h=8297 | B6h=20972 S6h=18490
[2026-05-17 14:29:44] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:29:49] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:29:55] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:30:00] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:30:05] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:30:10] PRICE=0.00036330 | MC=363336 | LIQ=0 | B1h=10006 S1h=8079 | B6h=21003 S6h=18503
[2026-05-17 14:30:15] PRICE=0.00034710 | MC=347112 | LIQ=0 | B1h=9880 S1h=7954 | B6h=21037 S6h=18528
[2026-05-17 14:30:21] PRICE=0.00034710 | MC=347112 | LIQ=0 | B1h=9880 S1h=7954 | B6h=21037 S6h=18528
[2026-05-17 14:30:26] PRICE=0.00034710 | MC=347112 | LIQ=0 | B1h=9880 S1h=7954 | B6h=21037 S6h=18528
[2026-05-17 14:30:31] PRICE=0.00034710 | MC=347112 | LIQ=0 | B1h=9880 S1h=7954 | B6h=21037 S6h=18528
[2026-05-17 14:30:36] PRICE=0.00034710 | MC=347112 | LIQ=0 | B1h=9880 S1h=7954 | B6h=21037 S6h=18528
[2026-05-17 14:30:41] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:30:47] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:30:52] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:30:57] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:31:02] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:31:07] PRICE=0.00035290 | MC=352901 | LIQ=0 | B1h=9907 S1h=7970 | B6h=21064 S6h=18544
[2026-05-17 14:31:12] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:18] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:23] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:28] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:33] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:38] PRICE=0.00037160 | MC=371612 | LIQ=0 | B1h=9664 S1h=7660 | B6h=21081 S6h=18571
[2026-05-17 14:31:43] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:31:49] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:31:54] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:31:59] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:32:04] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:32:09] PRICE=0.00035810 | MC=358102 | LIQ=0 | B1h=9689 S1h=7677 | B6h=21106 S6h=18588
[2026-05-17 14:32:14] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:20] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:25] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:30] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:35] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:40] PRICE=0.00035500 | MC=355053 | LIQ=0 | B1h=9411 S1h=7459 | B6h=21173 S6h=18618
[2026-05-17 14:32:45] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:32:51] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:32:56] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:33:01] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:33:06] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:33:11] PRICE=0.00036530 | MC=365306 | LIQ=0 | B1h=9448 S1h=7504 | B6h=21210 S6h=18663
[2026-05-17 14:33:16] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:22] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:27] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:32] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:37] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:42] PRICE=0.00036830 | MC=368350 | LIQ=0 | B1h=9205 S1h=7287 | B6h=21237 S6h=18681
[2026-05-17 14:33:47] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:33:53] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:33:58] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:03] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:08] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:13] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:18] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:24] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:29] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
