[2026-05-19 18:11:14] PRICE=0.00037080 | MC=370851 | LIQ=50493 | B1h=3734 S1h=2947 | B6h=4526 S6h=3509
[2026-05-19 18:11:20] PRICE=0.00037080 | MC=370851 | LIQ=50493 | B1h=3734 S1h=2947 | B6h=4526 S6h=3509
[2026-05-19 18:11:25] PRICE=0.00037080 | MC=370851 | LIQ=50493 | B1h=3734 S1h=2947 | B6h=4526 S6h=3509
[2026-05-19 18:11:30] PRICE=0.00037080 | MC=370851 | LIQ=50493 | B1h=3734 S1h=2947 | B6h=4526 S6h=3509
[2026-05-19 18:11:35] PRICE=0.00037080 | MC=370851 | LIQ=50493 | B1h=3734 S1h=2947 | B6h=4526 S6h=3509
[2026-05-19 18:11:41] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:11:46] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:11:51] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:11:56] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:12:02] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:12:07] PRICE=0.00035410 | MC=354133 | LIQ=49366 | B1h=3693 S1h=2922 | B6h=4561 S6h=3531
[2026-05-19 18:12:12] PRICE=0.00036740 | MC=367419 | LIQ=50302 | B1h=3723 S1h=2940 | B6h=4591 S6h=3549
[2026-05-19 18:12:17] PRICE=0.00036740 | MC=367419 | LIQ=50302 | B1h=3723 S1h=2940 | B6h=4591 S6h=3549
[2026-05-19 18:12:22] PRICE=0.00036740 | MC=367419 | LIQ=50302 | B1h=3723 S1h=2940 | B6h=4591 S6h=3549
[2026-05-19 18:12:27] PRICE=0.00036740 | MC=367419 | LIQ=50302 | B1h=3723 S1h=2940 | B6h=4591 S6h=3549
[2026-05-19 18:12:33] PRICE=0.00036740 | MC=367419 | LIQ=50302 | B1h=3723 S1h=2940 | B6h=4591 S6h=3549
[2026-05-19 18:12:38] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:12:43] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:12:48] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:12:54] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:12:59] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:13:04] PRICE=0.00036010 | MC=360142 | LIQ=49836 | B1h=3689 S1h=2896 | B6h=4626 S6h=3582
[2026-05-19 18:13:09] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
[2026-05-19 18:13:14] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
[2026-05-19 18:13:20] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
[2026-05-19 18:13:25] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
[2026-05-19 18:13:30] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
[2026-05-19 18:13:35] PRICE=0.00035720 | MC=357271 | LIQ=49648 | B1h=3717 S1h=2919 | B6h=4654 S6h=3605
