[2026-05-17 17:43:28] PRICE=0.00048330 | MC=483306 | LIQ=56315 | B1h=3855 S1h=909 | B6h=8722 S6h=1578
[2026-05-17 17:43:33] PRICE=0.00048330 | MC=483306 | LIQ=56315 | B1h=3855 S1h=909 | B6h=8722 S6h=1578
[2026-05-17 17:43:38] PRICE=0.00048330 | MC=483306 | LIQ=56315 | B1h=3855 S1h=909 | B6h=8722 S6h=1578
[2026-05-17 17:43:43] PRICE=0.00048330 | MC=483306 | LIQ=56315 | B1h=3855 S1h=909 | B6h=8722 S6h=1578
[2026-05-17 17:43:48] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:43:54] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:43:59] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:44:04] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:44:09] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:44:14] PRICE=0.00048420 | MC=484220 | LIQ=56368 | B1h=3885 S1h=919 | B6h=8752 S6h=1588
[2026-05-17 17:44:19] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:25] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:30] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:35] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:40] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:45] PRICE=0.00048610 | MC=486160 | LIQ=56490 | B1h=3850 S1h=923 | B6h=8801 S6h=1602
[2026-05-17 17:44:50] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:44:56] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:45:01] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:45:06] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:45:11] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:45:16] PRICE=0.00049500 | MC=495071 | LIQ=57002 | B1h=3890 S1h=930 | B6h=8841 S6h=1609
[2026-05-17 17:45:22] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:27] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:32] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:37] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:42] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:47] PRICE=0.00050350 | MC=503538 | LIQ=57495 | B1h=3835 S1h=929 | B6h=8880 S6h=1617
[2026-05-17 17:45:53] PRICE=0.00050810 | MC=508187 | LIQ=57734 | B1h=3878 S1h=939 | B6h=8923 S6h=1627
[2026-05-17 17:45:58] PRICE=0.00050810 | MC=508187 | LIQ=57734 | B1h=3878 S1h=939 | B6h=8923 S6h=1627
