[2026-05-19 22:28:37] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:28:37] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:28:43] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:28:48] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:28:53] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:28:59] PRICE=0.00044070 | MC=440714 | LIQ=53039 | B1h=9476 S1h=5858 | B6h=9476 S6h=5858
[2026-05-19 22:29:04] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:09] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:15] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:20] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:25] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:31] PRICE=0.00040860 | MC=408609 | LIQ=51098 | B1h=9561 S1h=5912 | B6h=9561 S6h=5912
[2026-05-19 22:29:36] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:29:41] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:29:46] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:29:52] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:29:57] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:30:02] PRICE=0.00045150 | MC=451594 | LIQ=53768 | B1h=9648 S1h=5959 | B6h=9648 S6h=5959
[2026-05-19 22:30:08] PRICE=0.00048040 | MC=480429 | LIQ=55477 | B1h=9739 S1h=6031 | B6h=9739 S6h=6031
[2026-05-19 22:30:13] PRICE=0.00048040 | MC=480429 | LIQ=55477 | B1h=9739 S1h=6031 | B6h=9739 S6h=6031
[2026-05-19 22:30:19] PRICE=0.00048040 | MC=480429 | LIQ=55477 | B1h=9739 S1h=6031 | B6h=9739 S6h=6031
[2026-05-19 22:30:24] PRICE=0.00048040 | MC=480429 | LIQ=55477 | B1h=9739 S1h=6031 | B6h=9739 S6h=6031
[2026-05-19 22:30:29] PRICE=0.00048040 | MC=480429 | LIQ=55477 | B1h=9739 S1h=6031 | B6h=9739 S6h=6031
[2026-05-19 22:30:35] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:30:40] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:30:45] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:30:51] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:30:56] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:31:01] PRICE=0.00049890 | MC=498985 | LIQ=56576 | B1h=9861 S1h=6124 | B6h=9861 S6h=6124
[2026-05-19 22:31:06] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:11] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:17] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:22] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:27] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:33] PRICE=0.00051120 | MC=511249 | LIQ=57284 | B1h=9950 S1h=6202 | B6h=9950 S6h=6202
[2026-05-19 22:31:38] PRICE=0.00043150 | MC=431575 | LIQ=52648 | B1h=10048 S1h=6259 | B6h=10048 S6h=6259
