[2026-05-19 19:19:01] PRICE=0.00031830 | MC=318365 | LIQ=47128 | B1h=2539 S1h=1884 | B6h=9774 S6h=7750
[2026-05-19 19:19:06] PRICE=0.00031830 | MC=318365 | LIQ=47128 | B1h=2539 S1h=1884 | B6h=9774 S6h=7750
[2026-05-19 19:19:12] PRICE=0.00031830 | MC=318365 | LIQ=47128 | B1h=2539 S1h=1884 | B6h=9774 S6h=7750
[2026-05-19 19:19:17] PRICE=0.00031830 | MC=318365 | LIQ=47128 | B1h=2539 S1h=1884 | B6h=9774 S6h=7750
[2026-05-19 19:19:23] PRICE=0.00030830 | MC=308338 | LIQ=46398 | B1h=2579 S1h=1911 | B6h=9863 S6h=7800
[2026-05-19 19:19:28] PRICE=0.00030830 | MC=308338 | LIQ=46398 | B1h=2579 S1h=1911 | B6h=9863 S6h=7800
[2026-05-19 19:19:33] PRICE=0.00030830 | MC=308338 | LIQ=46398 | B1h=2579 S1h=1911 | B6h=9863 S6h=7800
[2026-05-19 19:19:39] PRICE=0.00030830 | MC=308338 | LIQ=46398 | B1h=2579 S1h=1911 | B6h=9863 S6h=7800
[2026-05-19 19:19:44] PRICE=0.00030830 | MC=308338 | LIQ=46398 | B1h=2579 S1h=1911 | B6h=9863 S6h=7800
[2026-05-19 19:19:49] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:19:55] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:20:00] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:20:05] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:20:11] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:20:16] PRICE=0.00030400 | MC=303997 | LIQ=46094 | B1h=2621 S1h=1952 | B6h=9905 S6h=7841
[2026-05-19 19:20:21] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:27] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:32] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:37] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:43] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:48] PRICE=0.00031330 | MC=313311 | LIQ=46804 | B1h=2596 S1h=1955 | B6h=9919 S6h=7864
[2026-05-19 19:20:54] PRICE=0.00033660 | MC=336664 | LIQ=48536 | B1h=2624 S1h=1967 | B6h=9947 S6h=7876
[2026-05-19 19:20:59] PRICE=0.00033660 | MC=336664 | LIQ=48536 | B1h=2624 S1h=1967 | B6h=9947 S6h=7876
[2026-05-19 19:21:04] PRICE=0.00033660 | MC=336664 | LIQ=48536 | B1h=2624 S1h=1967 | B6h=9947 S6h=7876
[2026-05-19 19:21:09] PRICE=0.00033660 | MC=336664 | LIQ=48536 | B1h=2624 S1h=1967 | B6h=9947 S6h=7876
[2026-05-19 19:21:15] PRICE=0.00033660 | MC=336664 | LIQ=48536 | B1h=2624 S1h=1967 | B6h=9947 S6h=7876
[2026-05-19 19:21:20] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:25] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:31] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:36] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:41] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:47] PRICE=0.00032320 | MC=323222 | LIQ=47559 | B1h=2608 S1h=1963 | B6h=9961 S6h=7888
[2026-05-19 19:21:52] PRICE=0.00030340 | MC=303421 | LIQ=46070 | B1h=2647 S1h=1984 | B6h=10000 S6h=7909
[2026-05-19 19:21:57] PRICE=0.00030340 | MC=303421 | LIQ=46070 | B1h=2647 S1h=1984 | B6h=10000 S6h=7909
[2026-05-19 19:22:03] PRICE=0.00030340 | MC=303421 | LIQ=46070 | B1h=2647 S1h=1984 | B6h=10000 S6h=7909
[2026-05-19 19:22:08] PRICE=0.00030340 | MC=303421 | LIQ=46070 | B1h=2647 S1h=1984 | B6h=10000 S6h=7909
[2026-05-19 19:22:14] PRICE=0.00030340 | MC=303421 | LIQ=46070 | B1h=2647 S1h=1984 | B6h=10000 S6h=7909
[2026-05-19 19:22:19] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:24] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:30] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:35] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:40] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:46] PRICE=0.00028890 | MC=288937 | LIQ=44971 | B1h=2650 S1h=1979 | B6h=10024 S6h=7920
[2026-05-19 19:22:51] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:22:56] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:23:02] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:23:07] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:23:13] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:23:18] PRICE=0.00027300 | MC=273051 | LIQ=43730 | B1h=2665 S1h=1994 | B6h=10039 S6h=7935
[2026-05-19 19:23:24] PRICE=0.00029170 | MC=291713 | LIQ=45194 | B1h=2646 S1h=1950 | B6h=10079 S6h=7949
[2026-05-19 19:23:29] PRICE=0.00029170 | MC=291713 | LIQ=45194 | B1h=2646 S1h=1950 | B6h=10079 S6h=7949
[2026-05-19 19:23:34] PRICE=0.00029170 | MC=291713 | LIQ=45194 | B1h=2646 S1h=1950 | B6h=10079 S6h=7949
[2026-05-19 19:23:39] PRICE=0.00029170 | MC=291713 | LIQ=45194 | B1h=2646 S1h=1950 | B6h=10079 S6h=7949
[2026-05-19 19:23:45] PRICE=0.00029170 | MC=291713 | LIQ=45194 | B1h=2646 S1h=1950 | B6h=10079 S6h=7949
[2026-05-19 19:23:50] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:23:56] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:24:01] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:24:06] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:24:11] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:24:17] PRICE=0.00028890 | MC=288968 | LIQ=44979 | B1h=2654 S1h=1956 | B6h=10087 S6h=7955
[2026-05-19 19:24:23] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:28] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:33] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:38] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:44] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:49] PRICE=0.00029550 | MC=295580 | LIQ=45496 | B1h=2624 S1h=1961 | B6h=10101 S6h=7981
[2026-05-19 19:24:54] PRICE=0.00029950 | MC=299519 | LIQ=45795 | B1h=2636 S1h=1965 | B6h=10113 S6h=7985
[2026-05-19 19:25:00] PRICE=0.00029950 | MC=299519 | LIQ=45795 | B1h=2636 S1h=1965 | B6h=10113 S6h=7985
[2026-05-19 19:25:05] PRICE=0.00029950 | MC=299519 | LIQ=45795 | B1h=2636 S1h=1965 | B6h=10113 S6h=7985
[2026-05-19 19:25:10] PRICE=0.00029950 | MC=299519 | LIQ=45795 | B1h=2636 S1h=1965 | B6h=10113 S6h=7985
[2026-05-19 19:25:16] PRICE=0.00029950 | MC=299519 | LIQ=45795 | B1h=2636 S1h=1965 | B6h=10113 S6h=7985
[2026-05-19 19:25:21] PRICE=0.00028020 | MC=280216 | LIQ=44312 | B1h=2590 S1h=1913 | B6h=10138 S6h=7996
[2026-05-19 19:25:26] PRICE=0.00028020 | MC=280216 | LIQ=44312 | B1h=2590 S1h=1913 | B6h=10138 S6h=7996
