[2026-05-19 17:48:04] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:09] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:14] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:19] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:25] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:30] PRICE=0.00038490 | MC=384965 | LIQ=50553 | B1h=3418 S1h=885 | B6h=19693 S6h=4331
[2026-05-19 17:48:35] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:48:40] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:48:45] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:48:50] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:48:56] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:49:01] PRICE=0.00039020 | MC=390295 | LIQ=50914 | B1h=3374 S1h=884 | B6h=19730 S6h=4336
[2026-05-19 17:49:06] PRICE=0.00041440 | MC=414452 | LIQ=52482 | B1h=3427 S1h=890 | B6h=19783 S6h=4342
[2026-05-19 17:49:11] PRICE=0.00041440 | MC=414452 | LIQ=52482 | B1h=3427 S1h=890 | B6h=19783 S6h=4342
[2026-05-19 17:49:16] PRICE=0.00041440 | MC=414452 | LIQ=52482 | B1h=3427 S1h=890 | B6h=19783 S6h=4342
[2026-05-19 17:49:22] PRICE=0.00041440 | MC=414452 | LIQ=52482 | B1h=3427 S1h=890 | B6h=19783 S6h=4342
[2026-05-19 17:49:27] PRICE=0.00041440 | MC=414452 | LIQ=52482 | B1h=3427 S1h=890 | B6h=19783 S6h=4342
[2026-05-19 17:49:32] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:32] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:38] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:43] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:48] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:53] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:49:58] PRICE=0.00047310 | MC=473157 | LIQ=56092 | B1h=3366 S1h=889 | B6h=19822 S6h=4347
[2026-05-19 17:50:04] PRICE=0.00039210 | MC=392107 | LIQ=51070 | B1h=3416 S1h=897 | B6h=19872 S6h=4355
