[2026-05-19 17:19:36] PRICE=0.00238500 | MC=2385603 | LIQ=124365 | B1h=1023 S1h=847 | B6h=12640 S6h=9393
[2026-05-19 17:19:41] PRICE=0.00238500 | MC=2385603 | LIQ=124365 | B1h=1023 S1h=847 | B6h=12640 S6h=9393
[2026-05-19 17:19:47] PRICE=0.00238500 | MC=2385603 | LIQ=124365 | B1h=1023 S1h=847 | B6h=12640 S6h=9393
[2026-05-19 17:19:52] PRICE=0.00238500 | MC=2385603 | LIQ=124365 | B1h=1023 S1h=847 | B6h=12640 S6h=9393
[2026-05-19 17:19:57] PRICE=0.00238500 | MC=2385603 | LIQ=124365 | B1h=1023 S1h=847 | B6h=12640 S6h=9393
[2026-05-19 17:20:03] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:08] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:13] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:19] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:24] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:30] PRICE=0.00236500 | MC=2365379 | LIQ=123839 | B1h=1029 S1h=853 | B6h=12646 S6h=9399
[2026-05-19 17:20:35] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:20:40] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:20:46] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:20:51] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:20:56] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:21:01] PRICE=0.00229100 | MC=2291328 | LIQ=121882 | B1h=1028 S1h=852 | B6h=12655 S6h=9406
[2026-05-19 17:21:07] PRICE=0.00222500 | MC=2225573 | LIQ=120152 | B1h=1035 S1h=859 | B6h=12662 S6h=9413
[2026-05-19 17:21:12] PRICE=0.00222500 | MC=2225573 | LIQ=120152 | B1h=1035 S1h=859 | B6h=12662 S6h=9413
[2026-05-19 17:21:18] PRICE=0.00222500 | MC=2225573 | LIQ=120152 | B1h=1035 S1h=859 | B6h=12662 S6h=9413
[2026-05-19 17:21:23] PRICE=0.00222500 | MC=2225573 | LIQ=120152 | B1h=1035 S1h=859 | B6h=12662 S6h=9413
[2026-05-19 17:21:28] PRICE=0.00222500 | MC=2225573 | LIQ=120152 | B1h=1035 S1h=859 | B6h=12662 S6h=9413
[2026-05-19 17:21:34] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:21:39] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:21:45] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:21:50] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:21:55] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:22:01] PRICE=0.00222700 | MC=2227423 | LIQ=120196 | B1h=1037 S1h=849 | B6h=12673 S6h=9417
[2026-05-19 17:22:06] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:11] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:17] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:22] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:27] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:33] PRICE=0.00221400 | MC=2214876 | LIQ=119843 | B1h=1039 S1h=852 | B6h=12675 S6h=9420
[2026-05-19 17:22:38] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:22:44] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:22:49] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:22:54] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:23:00] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:23:05] PRICE=0.00216000 | MC=2160108 | LIQ=118305 | B1h=1041 S1h=860 | B6h=12681 S6h=9431
[2026-05-19 17:23:10] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:16] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:21] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:26] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:31] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:36] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:42] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:23:47] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
