[2026-05-19 18:31:05] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:10] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:15] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:20] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:25] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:31] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:36] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:41] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:46] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:51] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:31:57] PRICE=0.00070360 | MC=703617 | LIQ=70180 | B1h=11 S1h=1 | B6h=11 S6h=1
[2026-05-19 18:32:02] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
[2026-05-19 18:32:07] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
[2026-05-19 18:32:12] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
[2026-05-19 18:32:17] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
[2026-05-19 18:32:23] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
[2026-05-19 18:32:28] PRICE=0.00070370 | MC=703762 | LIQ=70187 | B1h=12 S1h=1 | B6h=12 S6h=1
