[2026-05-19 17:19:36] PRICE=0.00067550 | MC=675544 | LIQ=65927 | B1h=416 S1h=298 | B6h=1738 S6h=1243
[2026-05-19 17:19:41] PRICE=0.00067550 | MC=675544 | LIQ=65927 | B1h=416 S1h=298 | B6h=1738 S6h=1243
[2026-05-19 17:19:47] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:19:47] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:19:52] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:19:58] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:20:03] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:20:08] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:20:14] PRICE=0.00067920 | MC=679283 | LIQ=66113 | B1h=417 S1h=299 | B6h=1739 S6h=1244
[2026-05-19 17:20:19] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:24] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:30] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:35] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:41] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:46] PRICE=0.00077070 | MC=770703 | LIQ=70425 | B1h=413 S1h=295 | B6h=1745 S6h=1248
[2026-05-19 17:20:51] PRICE=0.00076050 | MC=760590 | LIQ=69974 | B1h=413 S1h=297 | B6h=1745 S6h=1250
[2026-05-19 17:20:56] PRICE=0.00076050 | MC=760590 | LIQ=69974 | B1h=413 S1h=297 | B6h=1745 S6h=1250
[2026-05-19 17:21:01] PRICE=0.00076050 | MC=760590 | LIQ=69974 | B1h=413 S1h=297 | B6h=1745 S6h=1250
[2026-05-19 17:21:07] PRICE=0.00076050 | MC=760590 | LIQ=69974 | B1h=413 S1h=297 | B6h=1745 S6h=1250
[2026-05-19 17:21:12] PRICE=0.00076050 | MC=760590 | LIQ=69974 | B1h=413 S1h=297 | B6h=1745 S6h=1250
[2026-05-19 17:21:18] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:23] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:28] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:34] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:39] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:45] PRICE=0.00076060 | MC=760663 | LIQ=69978 | B1h=397 S1h=290 | B6h=1747 S6h=1251
[2026-05-19 17:21:50] PRICE=0.00074650 | MC=746575 | LIQ=69331 | B1h=398 S1h=292 | B6h=1748 S6h=1253
[2026-05-19 17:21:55] PRICE=0.00074650 | MC=746575 | LIQ=69331 | B1h=398 S1h=292 | B6h=1748 S6h=1253
[2026-05-19 17:22:01] PRICE=0.00074650 | MC=746575 | LIQ=69331 | B1h=398 S1h=292 | B6h=1748 S6h=1253
[2026-05-19 17:22:06] PRICE=0.00074650 | MC=746575 | LIQ=69331 | B1h=398 S1h=292 | B6h=1748 S6h=1253
[2026-05-19 17:22:12] PRICE=0.00074650 | MC=746575 | LIQ=69331 | B1h=398 S1h=292 | B6h=1748 S6h=1253
[2026-05-19 17:22:17] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:22] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:28] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:33] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:38] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:44] PRICE=0.00075450 | MC=754561 | LIQ=69681 | B1h=394 S1h=287 | B6h=1750 S6h=1255
[2026-05-19 17:22:49] PRICE=0.00069460 | MC=694604 | LIQ=66847 | B1h=395 S1h=292 | B6h=1751 S6h=1260
