[2026-05-19 18:00:53] PRICE=0.00062180 | MC=621873 | LIQ=63098 | B1h=3382 S1h=1210 | B6h=6606 S6h=1841
[2026-05-19 18:00:58] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:00:58] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:01:03] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:01:08] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:01:14] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:01:19] PRICE=0.00064810 | MC=648173 | LIQ=64412 | B1h=3427 S1h=1226 | B6h=6651 S6h=1857
[2026-05-19 18:01:24] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:29] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:35] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:40] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:45] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:50] PRICE=0.00071140 | MC=711488 | LIQ=67495 | B1h=3430 S1h=1230 | B6h=6708 S6h=1873
[2026-05-19 18:01:56] PRICE=0.00059090 | MC=590977 | LIQ=61516 | B1h=3469 S1h=1248 | B6h=6747 S6h=1891
